Date ,Hour,  Time,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) ,Weighted MCP (Rs/MWh)
27-12-2021,5,04:30 - 04:45,6425.10,19718.80,5631.90,5631.90,1899.21,1899.21
27-12-2021,5,04:45 - 05:00,6163.00,18587.20,5372.80,5372.80,1899.52,1899.52
27-12-2021,6,05:00 - 05:15,7188.80,15743.20,5829.40,5829.40,2538.35,2538.35
27-12-2021,6,05:15 - 05:30,7566.00,13655.20,5530.60,5530.60,2705.84,2705.84
27-12-2021,6,05:30 - 05:45,7881.30,12350.90,5891.00,5891.00,2929.86,2929.86
27-12-2021,6,05:45 - 06:00,8137.00,11103.10,6077.90,6077.90,3234.93,3234.93
27-12-2021,7,06:00 - 06:15,8820.20,9698.80,7105.86,7105.86,3660.64,3660.64
27-12-2021,7,06:15 - 06:30,9799.90,9523.50,7612.20,7612.20,3866.53,3866.53
27-12-2021,7,06:30 - 06:45,10601.30,9700.30,8339.00,8339.00,3989.65,3989.65
27-12-2021,7,06:45 - 07:00,10994.90,9626.70,8431.99,8431.99,4151.20,4151.20
27-12-2021,8,07:00 - 07:15,12240.40,10259.10,9182.70,9182.70,4193.46,4193.46
27-12-2021,8,07:15 - 07:30,12829.30,10426.10,9601.60,9601.60,4468.90,4468.90
27-12-2021,8,07:30 - 07:45,13655.40,10677.10,10198.59,10198.59,5000.75,5000.75
27-12-2021,8,07:45 - 08:00,13843.90,10894.40,10394.33,10394.33,4989.86,4989.86
27-12-2021,9,08:00 - 08:15,14174.10,10972.60,10534.10,10534.10,5500.70,5500.70
27-12-2021,9,08:15 - 08:30,14428.90,11385.70,10898.00,10898.00,4650.01,4650.01
27-12-2021,9,08:30 - 08:45,15079.40,12128.50,11648.30,11648.30,4649.65,4649.65
27-12-2021,9,08:45 - 09:00,15115.20,12047.60,11608.80,11608.80,5000.18,5000.18
27-12-2021,10,09:00 - 09:15,15332.90,12073.40,11629.20,11629.20,4689.88,4689.88
27-12-2021,10,09:15 - 09:30,15658.60,11551.80,11203.70,11203.70,6350.00,6350.00
27-12-2021,10,09:30 - 09:45,16021.30,10822.20,10474.10,10474.10,6350.71,6350.71
27-12-2021,10,09:45 - 10:00,16173.70,10132.80,9784.70,9784.70,6350.90,6350.90
27-12-2021,11,10:00 - 10:15,15248.80,8500.00,8170.90,8170.90,6200.36,6200.36
27-12-2021,11,10:15 - 10:30,14957.80,8156.40,7827.30,7827.30,6200.55,6200.55
27-12-2021,11,10:30 - 10:45,13953.40,8358.10,8029.00,8029.00,6100.45,6100.45
27-12-2021,11,10:45 - 11:00,13459.10,8135.40,7806.30,7806.30,6100.28,6100.28
27-12-2021,12,11:00 - 11:15,12271.90,7946.10,7197.00,7197.00,4550.98,4550.98
27-12-2021,12,11:15 - 11:30,11885.60,7997.20,7178.10,7178.10,4550.74,4550.74
27-12-2021,12,11:30 - 11:45,11288.20,8012.70,7068.60,7068.60,4468.72,4468.72
27-12-2021,12,11:45 - 12:00,11134.80,8018.10,6868.80,6868.80,4350.68,4350.68
27-12-2021,13,12:00 - 12:15,10346.00,7998.10,6663.30,6663.30,4070.36,4070.36
27-12-2021,13,12:15 - 12:30,10266.70,8311.70,6781.80,6781.80,4070.22,4070.22
27-12-2021,13,12:30 - 12:45,10176.10,8952.50,6982.90,6982.90,3989.36,3989.36
27-12-2021,13,12:45 - 13:00,9971.00,9662.60,6952.60,6952.60,3699.15,3699.15
27-12-2021,14,13:00 - 13:15,8903.00,10444.80,6403.30,6403.30,3421.86,3421.86
27-12-2021,14,13:15 - 13:30,8838.30,11355.20,6166.60,6166.60,3415.07,3415.07
27-12-2021,14,13:30 - 13:45,8926.40,12119.30,6471.53,6471.53,3244.95,3244.95
27-12-2021,14,13:45 - 14:00,8681.10,12187.10,6297.30,6297.30,3147.18,3147.18
27-12-2021,15,14:00 - 14:15,8680.40,12735.30,6703.89,6703.89,2929.51,2929.51
27-12-2021,15,14:15 - 14:30,8860.00,13017.40,6983.48,6983.48,2929.87,2929.87
27-12-2021,15,14:30 - 14:45,9649.30,12998.20,7267.53,7267.53,3170.23,3170.23
27-12-2021,15,14:45 - 15:00,10063.80,13527.60,7679.60,7679.60,3170.45,3170.45
