date,hour,time,purchase bid,sell bid,mcv,fsv,mcp,Weighted MCP (Rs/MWh),,
10-11-2021,22,21:45 - 22:00,7306.6,12111.8,6731.2,6731.2,2849.82,2849.82,,
10-11-2021,23,22:00 - 22:15,7257.8,11880.1,6074.3,6074.3,2815.54,2815.54,,
10-11-2021,23,22:15 - 22:30,7111,11532.8,5912.3,5912.3,2880.76,2880.76,,
10-11-2021,23,22:30 - 22:45,6760.7,11781.1,5576.3,5576.3,2849.44,2849.44,,
10-11-2021,23,22:45 - 23:00,6671.3,11822.6,5491.7,5491.7,2819.73,2819.73,,
10-11-2021,24,23:00 - 23:15,6047.4,11863.6,5082.6,5082.6,2500.21,2500.21,,
10-11-2021,24,23:15 - 23:30,5878,11580,4902.98,4902.98,2500.35,2500.35,,
10-11-2021,24,23:30 - 23:45,5820.8,11785,4870,4870,2432.07,2432.07,,
10-11-2021,24,23:45 - 24:00,5759.7,11886.9,4832.6,4832.6,2350.2,2350.2,,
11-11-2021,1,00:00 - 00:15,5395.6,10578.5,4604.2,4604.2,2409.87,2409.87,,
11-11-2021,1,00:15 - 00:30,5463.5,10854.4,4672.1,4672.1,2409.65,2409.65,,
11-11-2021,1,00:30 - 00:45,5548.8,10981.5,4758,4758,2409.83,2409.83,,
11-11-2021,1,00:45 - 01:00,5589.1,11284.5,4798,4798,2409.67,2409.67,,
11-11-2021,2,01:00 - 01:15,5574.6,11597.9,4810.1,4810.1,2409.01,2409.01,,
11-11-2021,2,01:15 - 01:30,5438.1,11659.9,4812.28,4812.28,2194.34,2194.34,,
11-11-2021,2,01:30 - 01:45,5381.4,11826.9,4897.03,4897.03,2000.88,2000.88,,
11-11-2021,2,01:45 - 02:00,5334.6,11910.9,4911.5,4911.5,1999.98,1999.98,,
11-11-2021,3,02:00 - 02:15,5224.6,11969.2,4810.7,4810.7,1999.79,1999.79,,
11-11-2021,3,02:15 - 02:30,5124.4,11941.2,4710.6,4710.6,1999.63,1999.63,,
11-11-2021,3,02:30 - 02:45,5051.8,12041.2,4637.9,4637.9,1999.33,1999.33,,
11-11-2021,3,02:45 - 03:00,5017.7,12077.2,4604,4604,1999.24,1999.24,,
11-11-2021,4,03:00 - 03:15,5042.2,12149.2,4628.8,4628.8,1999.01,1999.01,,
11-11-2021,4,03:15 - 03:30,5020.5,12258.3,4607.6,4607.6,1997.43,1997.43,,
11-11-2021,4,03:30 - 03:45,4983.8,12202.3,4570.8,4570.8,1997.16,1997.16,,
11-11-2021,4,03:45 - 04:00,4911.7,12149.3,4499.1,4499.1,1989.91,1989.91,,
11-11-2021,5,04:00 - 04:15,4872.6,12157.2,4459,4459,1989.69,1989.69,,
11-11-2021,5,04:15 - 04:30,4868.3,11696.2,4454.49,4454.49,1999.26,1999.26,,
11-11-2021,5,04:30 - 04:45,5011.5,11337.5,4598.2,4598.2,1999.68,1999.68,,
11-11-2021,5,04:45 - 05:00,5262.8,11103.6,4687.99,4687.99,2000.88,2000.88,,
