Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
18-02-2021,9,08:15 - 08:30,11892.6,11952.9,10394.4,10394.4,4190.77,4190.77
18-02-2021,9,08:30 - 08:45,11460.1,11111.2,9806,9806,4456.8,4456.8
18-02-2021,9,08:45 - 09:00,10899.2,10397.9,9177.4,9177.4,4529.78,4529.78
18-02-2021,10,09:00 - 09:15,10887.1,9973.4,8679.3,8679.3,4456.82,4456.82
18-02-2021,10,09:15 - 09:30,11127.7,9872.4,8771.7,8771.7,4999.01,4999.01
18-02-2021,10,09:30 - 09:45,10889.5,9980.1,8678.7,8678.7,4456.79,4456.79
18-02-2021,10,09:45 - 10:00,10541,9948.4,8421,8421,4116.87,4116.87
18-02-2021,11,10:00 - 10:15,9794.7,9549,8049,8049,3500.27,3500.27
18-02-2021,11,10:15 - 10:30,9637.1,9313.2,7823.3,7823.3,3529.03,3529.03
18-02-2021,11,10:30 - 10:45,9287.6,8966.3,7489.3,7489.3,3500.89,3500.89
18-02-2021,11,10:45 - 11:00,9245.3,8842.4,7525.3,7525.3,3499.64,3499.64
18-02-2021,12,11:00 - 11:15,9284.3,8883.7,7748.9,7748.9,3529.73,3529.73
18-02-2021,12,11:15 - 11:30,9761.8,9012.1,7958,7958,3616.5,3616.5
18-02-2021,12,11:30 - 11:45,9904.6,9166.9,8112.8,8112.8,3600.87,3600.87
18-02-2021,12,11:45 - 12:00,9815.5,9255,8167.9,8167.9,3529.89,3529.89
18-02-2021,13,12:00 - 12:15,10031.5,9425.5,8322.4,8322.4,3821.82,3821.82
18-02-2021,13,12:15 - 12:30,9930.4,9408.9,8200.6,8200.6,3949.27,3949.27
18-02-2021,13,12:30 - 12:45,9682.7,9495.8,8123.6,8123.6,3529.96,3529.96
18-02-2021,13,12:45 - 13:00,9261.3,10019,7847.7,7847.7,3280.88,3280.88
18-02-2021,14,13:00 - 13:15,8591.3,9990.2,7432.9,7432.9,3111.7,3111.7
18-02-2021,14,13:15 - 13:30,8512.4,10856.1,7502.5,7502.5,3000.86,3000.86
18-02-2021,14,13:30 - 13:45,8436.5,11619.8,7625.8,7625.8,2810.44,2810.44
18-02-2021,14,13:45 - 14:00,8612.2,12283.3,7851.1,7851.1,2749.18,2749.18
18-02-2021,15,14:00 - 14:15,8720.6,12756.1,8038,8038,2678.87,2678.87
18-02-2021,15,14:15 - 14:30,9033.4,13316.7,8350.8,8350.8,2678.99,2678.99
18-02-2021,15,14:30 - 14:45,9057.3,13769.7,8374.7,8374.7,2666.16,2666.16
18-02-2021,15,14:45 - 15:00,9443.2,14208.6,8755.6,8755.6,2630.87,2630.87
18-02-2021,16,15:00 - 15:15,9559.4,13864.9,8863.3,8863.3,2673.89,2673.89
18-02-2021,16,15:15 - 15:30,9727.9,13859.1,9031.8,9031.8,2666.4,2666.4
18-02-2021,16,15:30 - 15:45,10340.5,13850.8,9620.8,9620.8,2720.54,2720.54
18-02-2021,16,15:45 - 16:00,10821.9,13724.4,10024.8,10024.8,2847.24,2847.24
18-02-2021,17,16:00 - 16:15,10919.1,13957.2,10047.3,10047.3,2847.36,2847.36
18-02-2021,17,16:15 - 16:30,11643.4,13885.2,10484.1,10484.1,3061.46,3061.46
18-02-2021,17,16:30 - 16:45,12428.7,12975.6,10861.9,10861.9,3500.46,3500.46
18-02-2021,17,16:45 - 17:00,12363,12334.5,10535.8,10535.8,3605.17,3605.17
18-02-2021,18,17:00 - 17:15,11035,12132.4,9406.4,9406.4,3289.05,3289.05
18-02-2021,18,17:15 - 17:30,10688.7,11356.4,9007.3,9007.3,3441.1,3441.1
18-02-2021,18,17:30 - 17:45,10222.8,10743.1,8511.5,8511.5,3499.33,3499.33
18-02-2021,18,17:45 - 18:00,9470.7,10138.3,7765,7765,3441.79,3441.79
18-02-2021,19,18:00 - 18:15,8901.7,11535.6,8028.78,8028.78,2999.74,2999.74
18-02-2021,19,18:15 - 18:30,9135.6,11161.3,8121.4,8121.4,3240.86,3240.86
18-02-2021,19,18:30 - 18:45,10240.3,10534.6,8922.5,8922.5,3750.66,3750.66
18-02-2021,19,18:45 - 19:00,10417.4,10555.3,8983.2,8983.2,4000.7,4000.7
18-02-2021,20,19:00 - 19:15,10048.7,10559.3,8859.55,8859.55,3652.89,3652.89
18-02-2021,20,19:15 - 19:30,9804.5,10377.1,8600.9,8600.9,3711.41,3711.41
18-02-2021,20,19:30 - 19:45,9174,10483.5,8050.8,8050.8,3529.42,3529.42
18-02-2021,20,19:45 - 20:00,8622.9,10791.7,7534.1,7534.1,3449.53,3449.53
18-02-2021,21,20:00 - 20:15,7506.3,11031.8,6559.6,6559.6,3239.76,3239.76
18-02-2021,21,20:15 - 20:30,7270.6,11761.8,6334.7,6334.7,3145.05,3145.05
