Date ,Hour,Time block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),Weighted MCP (Rs/MWh)
17-10-2021,12,11:30 - 11:45,7854.60,13233.60,6926.30,6926.30,2600.26,2600.26
17-10-2021,12,11:45 - 12:00,7743.40,13384.90,6908.50,6908.50,2200.76,2200.76
17-10-2021,13,12:00 - 12:15,7139.60,13731.30,6366.20,6366.20,1999.13,1999.13
17-10-2021,13,12:15 - 12:30,7074.90,13618.60,6301.50,6301.50,1999.19,1999.19
17-10-2021,13,12:30 - 12:45,6978.80,13494.30,6205.40,6205.40,1999.20,1999.20
17-10-2021,13,12:45 - 13:00,6968.80,13528.20,6195.40,6195.40,1999.15,1999.15
17-10-2021,14,13:00 - 13:15,6993.10,13743.50,6224.40,6224.40,1499.99,1499.99
17-10-2021,14,13:15 - 13:30,6986.50,13650.00,6209.90,6209.90,1878.42,1878.42
17-10-2021,14,13:30 - 13:45,7065.20,13529.30,6289.70,6289.70,1999.27,1999.27
17-10-2021,14,13:45 - 14:00,7096.90,13283.00,6326.10,6326.10,1999.48,1999.48
17-10-2021,15,14:00 - 14:15,7372.40,13260.60,6590.60,6590.60,2049.92,2049.92
17-10-2021,15,14:15 - 14:30,7369.70,12849.60,6548.90,6548.90,2200.72,2200.72
17-10-2021,15,14:30 - 14:45,7522.70,12469.20,6425.90,6425.90,2900.17,2900.17
17-10-2021,15,14:45 - 15:00,7605.50,12175.80,6436.60,6436.60,2989.63,2989.63
17-10-2021,16,15:00 - 15:15,8063.30,12066.60,6599.00,6599.00,3000.50,3000.50
17-10-2021,16,15:15 - 15:30,8036.80,11802.40,6459.70,6459.70,3075.18,3075.18
17-10-2021,16,15:30 - 15:45,8417.90,11473.60,6502.40,6502.40,3488.19,3488.19
17-10-2021,16,15:45 - 16:00,8390.50,11186.00,6247.90,6247.90,3504.61,3504.61
17-10-2021,17,16:00 - 16:15,8298.80,11183.90,6196.10,6196.10,3503.60,3503.60
17-10-2021,17,16:15 - 16:30,8300.80,11076.00,6049.20,6049.20,3508.50,3508.50
17-10-2021,17,16:30 - 16:45,8473.10,11180.00,6178.30,6178.30,3609.61,3609.61
17-10-2021,17,16:45 - 17:00,8602.90,11273.00,6209.60,6209.60,3609.01,3609.01
17-10-2021,18,17:00 - 17:15,8798.30,11059.90,6182.83,6182.83,3998.87,3998.87
17-10-2021,18,17:15 - 17:30,8802.60,11078.80,6143.89,6143.89,4010.38,4010.38
17-10-2021,18,17:30 - 17:45,9404.90,11306.20,6484.30,6484.30,4500.48,4500.48
17-10-2021,18,17:45 - 18:00,9823.60,11501.40,6643.08,6643.08,4570.34,4570.34
17-10-2021,19,18:00 - 18:15,9957.80,11330.30,7013.80,7013.80,5501.28,5501.28
17-10-2021,19,18:15 - 18:30,10586.90,11646.80,7327.77,7327.77,5989.08,5989.08
17-10-2021,19,18:30 - 18:45,11514.70,11638.00,8127.71,8127.71,8000.60,8000.60
17-10-2021,19,18:45 - 19:00,11675.60,11516.50,8147.20,8147.20,9000.16,9000.16
17-10-2021,20,19:00 - 19:15,11624.50,11548.60,8093.10,8093.10,8000.34,8000.34
17-10-2021,20,19:15 - 19:30,11588.00,11623.70,8083.00,8083.00,6695.91,6695.91
17-10-2021,20,19:30 - 19:45,11334.30,11729.70,7630.00,7630.00,6499.03,6499.03
17-10-2021,20,19:45 - 20:00,11176.20,11786.40,7733.60,7733.60,6695.05,6695.05
17-10-2021,21,20:00 - 20:15,10595.20,12218.00,7852.60,7852.60,5009.23,5009.23
17-10-2021,21,20:15 - 20:30,10533.50,12190.00,7811.60,7811.60,5009.09,5009.09
17-10-2021,21,20:30 - 20:45,10013.90,12143.20,7480.30,7480.30,4980.23,4980.23
17-10-2021,21,20:45 - 21:00,9737.70,12176.50,7311.40,7311.40,4500.70,4500.70
17-10-2021,22,21:00 - 21:15,9748.40,12162.90,7405.80,7405.80,4699.35,4699.35
17-10-2021,22,21:15 - 21:30,9663.40,12338.80,7405.30,7405.30,4499.32,4499.32
17-10-2021,22,21:30 - 21:45,9522.00,12542.30,7564.39,7564.39,4000.97,4000.97
17-10-2021,22,21:45 - 22:00,9268.10,12702.30,7467.30,7467.30,3998.16,3998.16
17-10-2021,23,22:00 - 22:15,8554.60,12162.20,6747.66,6747.66,3500.39,3500.39
17-10-2021,23,22:15 - 22:30,8531.40,12130.90,6738.27,6738.27,3500.41,3500.41
17-10-2021,23,22:30 - 22:45,8378.60,12231.80,6620.70,6620.70,3498.70,3498.70
17-10-2021,23,22:45 - 23:00,8378.30,12146.60,6621.20,6621.20,3498.82,3498.82
17-10-2021,24,23:00 - 23:15,8339.80,12199.50,6550.40,6550.40,3496.33,3496.33
17-10-2021,24,23:15 - 23:30,8371.70,11926.50,6581.60,6581.60,3498.43,3498.43
17-10-2021,24,23:30 - 23:45,8584.80,11901.40,6762.94,6762.94,3500.37,3500.37
17-10-2021,24,23:45 - 24:00,8570.20,11709.40,6707.06,6707.06,3500.58,3500.58
18-10-2021,1,00:00 - 00:15,8901.10,11817.60,6879.10,6879.10,3500.42,3500.42
18-10-2021,1,00:15 - 00:30,9090.30,11871.80,6942.36,6942.36,3620.67,3620.67
18-10-2021,1,00:30 - 00:45,9162.80,12027.20,6994.79,6994.79,3750.91,3750.91
18-10-2021,1,00:45 - 01:00,8745.20,12265.20,6810.00,6810.00,3499.53,3499.53
18-10-2021,2,01:00 - 01:15,8852.10,12622.60,6960.30,6960.30,3499.23,3499.23
18-10-2021,2,01:15 - 01:30,8584.30,12878.50,6848.90,6848.90,3075.77,3075.77
18-10-2021,2,01:30 - 01:45,8548.50,13192.50,6813.50,6813.50,3075.08,3075.08
18-10-2021,2,01:45 - 02:00,8333.80,13501.50,6662.80,6662.80,2989.46,2989.46
18-10-2021,3,02:00 - 02:15,8326.40,13633.70,6699.20,6699.20,2989.00,2989.00
18-10-2021,3,02:15 - 02:30,8230.90,13717.60,6627.80,6627.80,2949.37,2949.37
18-10-2021,3,02:30 - 02:45,7947.20,13760.60,6344.40,6344.40,2947.69,2947.69
18-10-2021,3,02:45 - 03:00,7981.60,13759.10,6377.90,6377.90,2947.62,2947.62
18-10-2021,4,03:00 - 03:15,7610.60,13177.70,6007.30,6007.30,2946.43,2946.43
18-10-2021,4,03:15 - 03:30,7559.50,13124.70,5957.20,5957.20,2946.64,2946.64
