Date ,Hour,          Time ,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) ,Weighted MCP (Rs/MWh)
20-11-2021,17,16:00 - 16:15,8484.70,10277.20,7245.90,7245.90,2900.88,2900.88
20-11-2021,17,16:15 - 16:30,8588.80,10103.30,7221.09,7221.09,3000.64,3000.64
20-11-2021,17,16:30 - 16:45,8751.40,9819.50,7213.90,7213.90,3100.67,3100.67
20-11-2021,17,16:45 - 17:00,8664.90,9274.60,6989.39,6989.39,3462.64,3462.64
20-11-2021,18,17:00 - 17:15,8875.60,8440.10,6341.70,6341.70,3849.63,3849.63
20-11-2021,18,17:15 - 17:30,9745.90,7845.40,6280.20,6280.20,4506.44,4506.44
20-11-2021,18,17:30 - 17:45,10150.30,7876.50,6396.10,6396.10,4508.98,4508.98
20-11-2021,18,17:45 - 18:00,10798.10,7860.40,6512.00,6512.00,5500.00,5500.00
20-11-2021,19,18:00 - 18:15,10775.80,8038.00,6705.80,6705.80,4639.33,4639.33
20-11-2021,19,18:15 - 18:30,11644.40,7929.70,6797.50,6797.50,7134.58,7134.58
20-11-2021,19,18:30 - 18:45,11513.50,7957.70,6775.50,6775.50,8000.20,8000.20
20-11-2021,19,18:45 - 19:00,10814.60,8045.70,6672.70,6672.70,4750.12,4750.12
20-11-2021,20,19:00 - 19:15,9353.20,8605.70,6911.30,6911.30,4100.31,4100.31
20-11-2021,20,19:15 - 19:30,8700.60,8891.60,6928.50,6928.50,3861.95,3861.95
20-11-2021,20,19:30 - 19:45,7592.30,8635.70,6484.70,6484.70,3526.86,3526.86
20-11-2021,20,19:45 - 20:00,6987.00,8668.40,6187.40,6187.40,3199.72,3199.72
20-11-2021,21,20:00 - 20:15,6640.50,8750.90,5906.60,5906.60,3190.57,3190.57
20-11-2021,21,20:15 - 20:30,6480.70,8880.70,5767.00,5767.00,3029.67,3029.67
20-11-2021,21,20:30 - 20:45,6175.80,9046.10,5544.80,5544.80,2892.41,2892.41
20-11-2021,21,20:45 - 21:00,5986.20,9380.50,5355.20,5355.20,2817.29,2817.29
20-11-2021,22,21:00 - 21:15,5703.70,9434.80,5060.00,5060.00,2817.18,2817.18
20-11-2021,22,21:15 - 21:30,5518.90,9661.00,4944.30,4944.30,2624.46,2624.46
20-11-2021,22,21:30 - 21:45,5171.30,10002.30,4896.77,4896.77,2359.75,2359.75
20-11-2021,22,21:45 - 22:00,5019.80,10399.80,4891.40,4891.40,2000.01,2000.01
20-11-2021,23,22:00 - 22:15,5177.00,10273.40,4691.80,4691.80,2000.30,2000.30
20-11-2021,23,22:15 - 22:30,5124.10,9940.40,4384.50,4384.50,2187.24,2187.24
20-11-2021,23,22:30 - 22:45,5068.60,10359.30,4470.69,4470.69,2000.76,2000.76
20-11-2021,23,22:45 - 23:00,5078.00,10426.30,4435.70,4435.70,2050.27,2050.27
20-11-2021,24,23:00 - 23:15,4846.20,11146.00,4325.60,4325.60,1999.41,1999.41
20-11-2021,24,23:15 - 23:30,4631.80,11332.90,4111.40,4111.40,1999.11,1999.11
20-11-2021,24,23:30 - 23:45,4608.70,11703.80,4090.10,4090.10,1989.62,1989.62
20-11-2021,24,23:45 - 24:00,4542.30,11816.80,4023.30,4023.30,1989.17,1989.17
21-11-2021,1,00:00 - 00:15,5239.20,11996.60,4703.70,4703.70,1999.55,1999.55
21-11-2021,1,00:15 - 00:30,5244.00,12279.50,4708.60,4708.60,1999.43,1999.43
21-11-2021,1,00:30 - 00:45,5299.20,12680.60,4764.00,4764.00,1999.33,1999.33
21-11-2021,1,00:45 - 01:00,5281.70,12971.50,4746.50,4746.50,1999.20,1999.20
21-11-2021,2,01:00 - 01:15,5417.50,13216.50,4752.50,4752.50,1991.73,1991.73
21-11-2021,2,01:15 - 01:30,5326.30,13273.10,4698.20,4698.20,1899.89,1899.89
21-11-2021,2,01:30 - 01:45,5295.10,13414.10,4704.90,4704.90,1750.69,1750.69
21-11-2021,2,01:45 - 02:00,5245.30,13444.10,4670.40,4670.40,1716.79,1716.79
21-11-2021,3,02:00 - 02:15,5225.90,13406.50,4656.00,4656.00,1716.84,1716.84
21-11-2021,3,02:15 - 02:30,5227.50,13542.60,4657.40,4657.40,1716.68,1716.68
21-11-2021,3,02:30 - 02:45,5151.80,13756.60,4581.90,4581.90,1716.11,1716.11
21-11-2021,3,02:45 - 03:00,5120.60,13842.70,4583.50,4583.50,1658.96,1658.96
21-11-2021,4,03:00 - 03:15,5034.20,13913.50,4498.80,4498.80,1656.87,1656.87
21-11-2021,4,03:15 - 03:30,5019.40,14031.50,4484.20,4484.20,1656.12,1656.12
21-11-2021,4,03:30 - 03:45,5073.90,14024.20,4539.20,4539.20,1656.36,1656.36
21-11-2021,4,03:45 - 04:00,4977.70,14056.30,4443.40,4443.40,1653.53,1653.53
21-11-2021,5,04:00 - 04:15,5442.50,13884.50,4860.40,4860.40,1716.32,1716.32
21-11-2021,5,04:15 - 04:30,5447.90,13383.40,4812.80,4812.80,1899.32,1899.32
21-11-2021,5,04:30 - 04:45,5592.30,12947.80,4920.70,4920.70,1999.19,1999.19
21-11-2021,5,04:45 - 05:00,5721.00,12664.80,5149.30,5149.30,1999.71,1999.71
21-11-2021,6,05:00 - 05:15,5700.20,11626.70,4961.80,4961.80,2187.80,2187.80
21-11-2021,6,05:15 - 05:30,5778.30,10769.70,4982.30,4982.30,2579.93,2579.93
21-11-2021,6,05:30 - 05:45,5971.40,10184.20,5032.10,5032.10,2695.72,2695.72
21-11-2021,6,05:45 - 06:00,6080.00,9985.40,5054.50,5054.50,2602.18,2602.18
21-11-2021,7,06:00 - 06:15,6269.80,10050.40,5496.30,5496.30,2819.02,2819.02
