date,hour,time,purchase bid,sell bid,mcv,fsv,mcp
21-03-2021,12,11:15,8922.1,12251.4,7647.3,7645,3199.88
21-03-2021,12,11:30,8751.6,12514.2,7474.3,7472,3182.94
21-03-2021,12,11:45,8658.2,12707.7,7467.9,7467.9,3100.74
21-03-2021,13,12:00,8715.8,13154.6,7432.8,7432.8,3100.64
21-03-2021,13,12:15,8913.6,13654.5,7524.3,7522,3199.06
21-03-2021,13,12:30,8945.4,13645.2,7578.3,7576,3199.37
21-03-2021,13,12:45,8835.8,14002.4,7587.5,7585.2,3182.75
21-03-2021,14,13:00,8390.9,14143.7,7250.5,7248.2,3134.35
21-03-2021,14,13:15,8681.5,14669.9,7600.6,7598.3,3085.55
21-03-2021,14,13:30,8602.2,15038.9,7646.3,7646.3,3010.22
21-03-2021,14,13:45,8570.8,15486.8,7697.2,7694.9,2969.4
21-03-2021,15,14:00,8780.9,15830.1,8043,8040.7,2868.65
21-03-2021,15,14:15,8949.7,16019.7,8311.8,8309.5,2868.98
21-03-2021,15,14:30,9282.6,15866.9,8544.7,8542.4,2868.84
21-03-2021,15,14:45,9758.1,15827.8,8969.9,8969.9,2900.29
21-03-2021,16,15:00,9635.8,15594,8835.7,8835.7,2900.49
21-03-2021,16,15:15,10132.4,15621.9,9216.7,9214.4,2981.55
21-03-2021,16,15:30,10423.7,15448.1,9381.3,9381.3,3010.59
21-03-2021,16,15:45,10688.3,15294.7,9579.7,9577.4,3085.51
21-03-2021,17,16:00,10797.1,15093.7,9628.5,9626.2,3134.05
21-03-2021,17,16:15,11046.6,14753.3,9926.3,9924,3199.28
21-03-2021,17,16:30,11224.3,14501.6,10194.8,10194.4,3200
21-03-2021,17,16:45,11034.1,14361.8,10008.1,10005.8,3199.57
21-03-2021,18,17:00,10490.7,14001,9476.1,9473.8,3182.44
21-03-2021,18,17:15,10172.7,13837.3,9168.1,9165.8,3182.89
21-03-2021,18,17:30,10065.7,13117.3,9058.5,9056.2,3199.97
21-03-2021,18,17:45,9631.9,12618.7,8634.7,8632.4,3199.46
21-03-2021,19,18:00,7773.7,11569.5,7272.6,7270.3,3134.92
21-03-2021,19,18:15,7315.2,11081.2,6805.1,6802.8,3134.49
21-03-2021,19,18:30,7331.7,10410.6,6767.6,6765.3,3363.13
21-03-2021,19,18:45,7353.4,10106.1,6810.5,6808.2,3279.78
21-03-2021,20,19:00,8279.6,10096.9,7502.6,7500.3,3469.05
21-03-2021,20,19:15,9105.8,9825.8,7971.8,7969.5,4217.34
21-03-2021,20,19:30,8530.5,10150.5,7704.5,7702.2,3598.52
21-03-2021,20,19:45,8766.7,10167.9,7760.4,7760.4,3940.95
21-03-2021,21,20:00,8997.8,10180.1,7928.9,7928.9,4101.59
21-03-2021,21,20:15,9118.8,10175.5,7940.3,7938,4119.21
21-03-2021,21,20:30,9144.9,10201.1,7991.4,7989.1,4099.38
21-03-2021,21,20:45,9150.5,9749.6,7918.5,7916.2,4217.39
21-03-2021,22,21:00,8929.9,9978.1,7715.3,7715.3,3750.42
21-03-2021,22,21:15,9052.3,10227.2,7962.4,7962.4,3600.79
21-03-2021,22,21:30,8793.4,10011.3,7746.5,7746.5,3600.3
21-03-2021,22,21:45,8523.9,10186.3,7463.4,7461.1,3428.41
21-03-2021,23,22:00,7956.6,9652.7,6231.6,6229.3,3279.55
21-03-2021,23,22:15,7952,9463.7,6186.9,6184.6,3398.28
21-03-2021,23,22:30,7926.9,9311.9,6041.7,6039.4,3428.18
21-03-2021,23,22:45,7815.4,9509.3,5934.5,5932.2,3398.65
21-03-2021,24,23:00,7959.7,9735.9,6030.2,6027.9,3379.9
21-03-2021,24,23:15,7953.4,9819.2,6025.9,6023.6,3374.15
21-03-2021,24,23:30,8128.7,9920.5,6217.6,6215.3,3374.61
21-03-2021,24,23:45,8295.4,9930.8,6383.3,6381,3398.35
22-03-2021,1,0:00,8765.9,9359.6,7127.6,7112.6,3400.72
22-03-2021,1,0:15,8894.8,9677,7265.7,7261.4,3398.86
22-03-2021,1,0:30,8926,10074.7,7296.8,7292.5,3379.79
22-03-2021,1,0:45,8796.7,10283.6,7174.9,7170.6,3336.7
22-03-2021,2,1:00,8730.8,10953.3,7162.1,7157.8,3279.2
22-03-2021,2,1:15,8877.3,11496.6,7358.3,7354,3199.89
22-03-2021,2,1:30,8796.8,11683.7,7279.6,7275.3,3199.13
22-03-2021,2,1:45,8860.1,11944.7,7353.3,7341.7,3147.17
22-03-2021,3,2:00,9328.3,12553,7812.7,7808.4,3199.52
22-03-2021,3,2:15,9342.7,12731,7827.1,7822.8,3199.22
22-03-2021,3,2:30,9261.4,12953,7748.8,7741.4,3165.47
22-03-2021,3,2:45,9228,13073,7759.1,7752.7,3099.77
22-03-2021,4,3:00,9177,13327.9,7708.5,7704.2,3085.94
22-03-2021,4,3:15,9448,13419.9,7942.7,7931.5,3150.45
22-03-2021,4,3:30,9378.7,13240.8,7909.9,7905.6,3085.87
22-03-2021,4,3:45,9095.7,13304.8,7650.9,7646.6,3059.89
22-03-2021,5,4:00,9324.2,13329.8,7877.1,7864.6,3059.98
22-03-2021,5,4:15,9476.8,13087.8,8005.6,8001.3,3099.16
22-03-2021,5,4:30,9961.1,12830.8,8443.3,8439,3199.8
22-03-2021,5,4:45,9978.2,12578.1,8420.1,8415.8,3232.07
22-03-2021,6,5:00,10146.6,12106,8722.5,8722.5,3286.06
22-03-2021,6,5:15,10532.9,12042.3,9086.3,9086.3,3374.01
22-03-2021,6,5:30,10877.8,12162.4,9429.2,9429.2,3398.37
